,age,name
0,34,Environmental litigation
1,41,Environmental litigation
2,34,Environmental litigation
3,58,Environmental litigation
4,35,Environmental litigation
5,49,Environmental litigation
6,38,Environmental litigation
7,30,Environmental litigation
8,49,Environmental litigation
9,35,Environmental litigation
10,57,Environmental litigation
11,44,Environmental litigation
12,59,Environmental litigation
13,50,Environmental litigation
14,36,Environmental litigation
15,32,Environmental litigation
16,27,Environmental litigation
17,30,Environmental litigation
18,30,Environmental litigation
19,45,Environmental litigation
20,36,Environmental litigation
21,32,Environmental litigation
22,30,Environmental litigation
23,46,Environmental litigation
24,42,Environmental litigation
25,40,Environmental litigation
26,39,Environmental litigation
27,34,Environmental litigation
28,41,Environmental litigation
29,32,Environmental litigation
30,25,Environmental litigation
31,36,Environmental litigation
32,41,Environmental litigation
33,66,Environmental litigation
34,44,Environmental litigation
35,41,Environmental litigation
36,36,Environmental litigation
37,26,Environmental litigation
38,49,Environmental litigation
39,29,Environmental litigation
40,38,Environmental litigation
0,54,Political corruption
1,40,Political corruption
2,32,Political corruption
3,37,Political corruption
4,37,Political corruption
5,45,Political corruption
6,31,Political corruption
7,39,Political corruption
8,43,Political corruption
9,36,Political corruption
10,39,Political corruption
11,31,Political corruption
12,45,Political corruption
13,42,Political corruption
14,45,Political corruption
15,39,Political corruption
16,35,Political corruption
17,45,Political corruption
18,44,Political corruption
19,49,Political corruption
20,53,Political corruption
21,44,Political corruption
22,57,Political corruption
23,44,Political corruption
24,42,Political corruption
25,44,Political corruption
26,44,Political corruption
27,40,Political corruption
28,41,Political corruption
29,34,Political corruption
30,41,Political corruption
31,34,Political corruption
32,30,Political corruption
33,28,Political corruption
34,30,Political corruption
35,41,Political corruption
36,41,Political corruption
37,39,Political corruption
38,31,Political corruption
39,45,Political corruption
40,45,Political corruption
41,45,Political corruption
42,43,Political corruption
43,45,Political corruption
44,56,Political corruption
45,37,Political corruption
46,45,Political corruption
47,56,Political corruption
48,33,Political corruption
49,40,Political corruption
50,43,Political corruption
51,55,Political corruption
52,35,Political corruption
53,47,Political corruption
54,41,Political corruption
55,41,Political corruption
56,31,Political corruption
57,41,Political corruption
58,41,Political corruption
59,45,Political corruption
60,41,Political corruption
61,36,Political corruption
62,34,Political corruption
63,41,Political corruption
64,31,Political corruption
0,34,Human rights
1,30,Human rights
2,37,Human rights
3,30,Human rights
4,30,Human rights
5,42,Human rights
6,31,Human rights
7,44,Human rights
8,31,Human rights
9,34,Human rights
10,42,Human rights
11,40,Human rights
12,60,Human rights
13,28,Human rights
14,25,Human rights
15,39,Human rights
16,35,Human rights
17,34,Human rights
18,39,Human rights
19,36,Human rights
20,34,Human rights
21,36,Human rights
22,41,Human rights
23,33,Human rights
24,35,Human rights
25,35,Human rights
26,30,Human rights
27,36,Human rights
28,27,Human rights
29,41,Human rights
30,36,Human rights
31,52,Human rights
32,30,Human rights
33,32,Human rights
34,36,Human rights
35,39,Human rights
36,35,Human rights
37,30,Human rights
38,28,Human rights
39,36,Human rights
40,35,Human rights
41,30,Human rights
42,39,Human rights
43,38,Human rights
44,37,Human rights
45,27,Human rights
46,38,Human rights
47,34,Human rights
48,26,Human rights
49,40,Human rights
50,37,Human rights
51,42,Human rights
52,34,Human rights
53,34,Human rights
54,41,Human rights
55,30,Human rights
56,47,Human rights
57,34,Human rights
58,32,Human rights
59,36,Human rights
60,41,Human rights
61,36,Human rights
62,37,Human rights
63,45,Human rights
64,35,Human rights
65,31,Human rights
66,36,Human rights
67,35,Human rights
68,30,Human rights
69,44,Human rights
70,34,Human rights
71,37,Human rights
72,37,Human rights
73,35,Human rights
74,44,Human rights
75,30,Human rights
