http://afr100.org/content/3rd-afr100-annual-partnership-meeting,http://afr100.org/content/global-landscapes-forum-nairobi-2018,http://afr100.org/content/home,http://www.nepad.org/content/3rd-afr100-annual-partnership-meeting,https://events.globallandscapesforum.org/nairobi-2018/,https://events.globallandscapesforum.org/nairobi-2018/about/,https://events.globallandscapesforum.org/nairobi-2018/agenda/,https://events.globallandscapesforum.org/nairobi-2018/concept-note/,https://events.globallandscapesforum.org/nairobi-2018/have-your-say/,https://events.globallandscapesforum.org/nairobi-2018/join-online/,https://events.globallandscapesforum.org/nairobi-2018/photo-competition/,https://events.globallandscapesforum.org/nairobi-2018/quiz-landscape-restoration-africa/,https://events.globallandscapesforum.org/nairobi-2018/shape-the-conversation/,https://events.globallandscapesforum.org/nairobi-2018/speakers/,https://events.globallandscapesforum.org/nairobi-2018/youth-leaders-at-glf-nairobi-2018/,https://news.globallandscapesforum.org,https://twitter.com/Afr100_Official,https://twitter.com/GlobalLF,https://www.globallandscapesforum.org,https://www.instagram.com/globallandscapesforum,https://www.youtube.com/GlobalLandscapesForum
0.0,0.0,0.0,0.0,30,0,0.0,0,0,930,636,0,0,0,0,48,0.0,18,78,6,18
0.0,0.0,528.0,0.0,135,0,22.0,0,0,3720,2544,0,0,0,0,192,0.0,72,312,24,72
0.0,0.0,576.0,0.0,144,0,35.0,0,0,3720,2544,0,0,0,12,192,0.0,72,328,24,72
0.0,0.0,576.0,0.0,144,0,48.0,0,0,3720,2550,0,0,0,24,192,0.0,72,336,24,72
0.0,0.0,576.0,0.0,177,24,57.0,0,0,11499,2568,0,0,0,27,192,0.0,72,349,24,72
0.0,0.0,576.0,0.0,252,144,72.0,0,0,13196,2568,0,0,0,64,192,0.0,72,360,24,72
0.0,0.0,576.0,0.0,277,144,72.0,0,0,13227,2568,0,0,0,96,192,0.0,72,360,24,72
0.0,0.0,576.0,0.0,368,144,72.0,0,0,13272,2568,0,0,0,98,192,0.0,72,360,24,72
0.0,0.0,576.0,0.0,428,172,81.0,0,0,13861,2568,0,0,0,140,192,0.0,72,378,24,72
0.0,0.0,576.0,0.0,548,243,110.0,0,0,14246,2568,0,0,0,170,192,0.0,72,384,24,72
0.0,0.0,576.0,0.0,701,280,120.0,0,0,14278,2568,0,0,0,192,192,0.0,72,384,24,72
0.0,0.0,576.0,0.0,799,288,120.0,0,0,14280,2568,0,0,0,212,192,0.0,72,426,24,72
0.0,0.0,576.0,0.0,856,288,120.0,0,0,14280,2568,0,0,0,240,192,0.0,72,456,24,72
0.0,0.0,576.0,0.0,927,288,123.0,0,0,14280,2568,0,0,0,240,192,0.0,72,456,24,72
0.0,0.0,576.0,0.0,997,288,144.0,0,0,14280,2568,0,0,0,240,192,0.0,72,456,24,72
0.0,0.0,576.0,0.0,1032,288,144.0,0,0,14280,2568,0,0,0,240,192,0.0,72,456,24,72
0.0,0.0,576.0,0.0,1032,288,144.0,0,0,14280,2568,0,0,0,240,192,0.0,72,456,24,72
0.0,0.0,576.0,0.0,1032,288,144.0,0,0,14280,2568,0,0,0,240,192,0.0,72,456,24,72
0.0,0.0,576.0,0.0,1032,288,144.0,0,0,14280,2568,0,0,0,240,192,0.0,72,456,24,72
0.0,0.0,576.0,0.0,1082,288,144.0,0,0,14280,2568,0,0,0,240,192,0.0,72,456,24,72
0.0,0.0,576.0,0.0,1128,288,144.0,1,0,14280,2568,0,0,0,240,192,0.0,72,456,24,72
0.0,0.0,576.0,0.0,1128,288,144.0,24,0,14280,2568,0,0,0,240,192,0.0,72,456,24,72
0.0,0.0,576.0,0.0,1169,288,144.0,24,0,14280,2568,0,0,0,240,192,0.0,72,456,24,72
0.0,0.0,576.0,0.0,1228,288,144.0,24,0,14280,2568,0,0,0,240,192,0.0,72,456,24,72
0.0,0.0,576.0,0.0,1272,288,144.0,24,0,14280,2568,0,0,0,240,192,0.0,72,456,24,72
0.0,0.0,576.0,0.0,1272,288,144.0,24,0,14280,2568,0,0,0,240,192,0.0,72,456,24,72
0.0,0.0,408.0,0.0,901,204,102.0,17,0,10115,1819,0,0,0,170,136,0.0,51,323,17,51
