Continent,Conference,Percent,Diff
Africa,Bonn,9,20
Asia,Bonn,15,-3
Europe,Bonn,37,-10
North America,Bonn,30,-5
Oceana,Bonn,6,-2
South America,Bonn,3,0
Africa,Nairobi,29,20
Asia,Nairobi,12,-3
Europe,Nairobi,27,-10
North America,Nairobi,25,-5
Oceana,Nairobi,4,-2
South America,Nairobi,3,0
