Account,Gain Type,Gain,Type
UN,Absolute,52521,Organization
BBCAfrica,Absolute,21052,News
ThuliMadonsela3,Absolute,15094,Individual
WorldBank,Absolute,14352,Organization
Ethiopialiveupd,Absolute,12705,News
StateDept,Absolute,12664,Government
MthuliNcube,Absolute,10381,Government
AsoRock,Absolute,10292,Government
UNDP,Absolute,8511,Organization
UNEnvironoment,Absolute,7893,Organization
Ethiopialiveupd,Multiple,6353,News
idziedzorm,Multiple,553,Individual
Mgavner2,Multiple,532,Individual
GNBUg1,Multiple,246,Organization
ColonjuwonILO,Multiple,146,Organization
P2PAfghanistan,Multiple,131,Organization
MusaOtienooOngao,Multiple,127,Individual
Annabel04163592,Multiple,122,Individual
ZenHuman,Multiple,120,Individual
Collect86,Multiple,95,Individual
