[63.4834357],[[0.15467794 0.84532213]]
[27.12684151],[[0.930478   0.06952203]]
[19.96178715],[[0.9975701  0.00242985]]
[35.95514103],[[0.82512313 0.17487678]]
[37.95813532],[[0.94956076 0.05043917]]
[54.01525787],[[0.02253826 0.97746176]]
[28.01582673],[[0.03379007 0.96621   ]]
[32.7144581],[[0.90930146 0.09069858]]
[30.92474666],[[0.90676683 0.09323313]]
[55.37537881],[[0.13586262 0.86413735]]
NA,NA
[28.0869485],[[0.0168837 0.9831163]]
[31.82379508],[[0.20080379 0.7991962 ]]
[32.77831626],[[0.95045066 0.04954935]]
[24.89697579],[[0.9786493  0.02135066]]
[62.57976755],[[0.02200465 0.9779953 ]]
[33.52319055],[[0.00778371 0.9922162 ]]
[27.53477108],[[0.04616508 0.9538349 ]]
[42.43658526],[[0.03554317 0.9644568 ]]
[28.93326389],[[0.9514067  0.04859327]]
[39.64860867 41.23695194],"[[0.9752567  0.02474333]
 [0.04688568 0.95311433]]"
[28.9320142],[[0.9665589  0.03344106]]
[41.53270089],[[0.00808587 0.99191415]]
